order_id,tenant_id,code,side,order_type,quantity,price,filled_quantity,filled_price,status,commission,tax,slippage,broker_order_id,error_msg,strategy_id,signal_id,created_at,updated_at
ord-ca93fb1d,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-12T16:45:48.221789,2026-09-12T16:45:48.221789
ord-26c784e6,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T10:07:35.771978,2026-09-13T10:07:35.771978
ord-d238a86c,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T10:24:46.743220,2026-09-13T10:24:46.743220
ord-f91771ad,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T10:28:49.776205,2026-09-13T10:28:49.776205
ord-6fe11e97,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T10:29:41.165201,2026-09-13T10:29:41.165201
ord-f4774557,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T10:51:58.507505,2026-09-13T10:51:58.507505
ord-8f5fcd63,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T10:57:06.343887,2026-09-13T10:57:06.343887
ord-c5fb5a31,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T12:22:00.840272,2026-09-13T12:22:00.840272
ord-433629bd,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T12:26:17.131690,2026-09-13T12:26:17.131690
ord-51365f93,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T13:05:19.063039,2026-09-13T13:05:19.063039
ord-ffa7c58c,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T13:53:58.100177,2026-09-13T13:53:58.100177
ord-d99d7d64,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T14:02:05.079916,2026-09-13T14:02:05.079916
ord-96d470a7,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T14:07:41.305724,2026-09-13T14:07:41.305724
ord-16b594f8,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T14:31:54.929717,2026-09-13T14:31:54.929717
ord-5681e1cc,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T14:35:54.450595,2026-09-13T14:35:54.450595
ord-bb1ee9b6,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T16:10:56.290443,2026-09-13T16:10:56.290443
ord-ff848545,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T16:37:53.933733,2026-09-13T16:37:53.933733
ord-dd342e17,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T16:43:58.971507,2026-09-13T16:43:58.971507
ord-7ff35db3,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T16:51:18.433062,2026-09-13T16:51:18.433062
ord-172c11f2,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T16:55:31.949291,2026-09-13T16:55:31.949291
ord-4da69e93,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T17:01:37.886296,2026-09-13T17:01:37.886296
ord-16f8d537,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T17:16:49.691538,2026-09-13T17:16:49.691538
ord-d80f1d4b,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T17:48:23.070845,2026-09-13T17:48:23.070845
ord-7914cbf6,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T17:54:01.175159,2026-09-13T17:54:01.175159
ord-ea4024bb,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T18:08:40.036127,2026-09-13T18:08:40.036127
ord-f304d31a,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-13T18:14:18.815049,2026-09-13T18:14:18.815049
ord-b5e2f459,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-20T17:03:40.990924,2026-09-20T17:03:40.990924
ord-b129e22f,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-20T17:10:49.211936,2026-09-20T17:10:49.211936
ord-783800d1,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-20T17:30:12.784276,2026-09-20T17:30:12.784276
ord-9fc8421c,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-20T17:37:46.651615,2026-09-20T17:37:46.651615
ord-a0495577,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-20T17:44:29.523602,2026-09-20T17:44:29.523602
ord-d9ad8d6e,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-20T17:51:40.208494,2026-09-20T17:51:40.208494
ord-4617dd27,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-20T17:58:42.363719,2026-09-20T17:58:42.363719
ord-311ac334,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-20T18:10:34.283456,2026-09-20T18:10:34.283456
ord-6700d30e,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-20T18:37:08.030970,2026-09-20T18:37:08.030970
ord-e75254df,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T12:14:53.013086,2026-09-21T12:14:53.013086
ord-3f644c5a,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T12:27:35.287531,2026-09-21T12:27:35.287531
ord-ec2ad5ce,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T12:39:51.813124,2026-09-21T12:39:51.813124
ord-369fd8c7,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T12:48:39.496683,2026-09-21T12:48:39.496683
ord-f88d2e69,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T12:56:05.701874,2026-09-21T12:56:05.701874
ord-adfe2595,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T13:06:39.103752,2026-09-21T13:06:39.103752
ord-75f4e90a,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T13:13:56.204427,2026-09-21T13:13:56.204427
ord-41ee6920,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T13:19:21.923913,2026-09-21T13:19:21.923913
ord-6b3d17d3,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T13:28:34.788843,2026-09-21T13:28:34.788843
ord-ee9fd557,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T13:33:33.120996,2026-09-21T13:33:33.120996
ord-c4553946,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T15:44:10.554331,2026-09-21T15:44:10.554331
ord-30f8340c,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T15:56:01.252588,2026-09-21T15:56:01.252588
ord-f13c29b2,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T16:11:49.640543,2026-09-21T16:11:49.640543
ord-0aa26a3e,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T16:17:42.948470,2026-09-21T16:17:42.948470
ord-0d667476,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T16:35:31.605838,2026-09-21T16:35:31.605838
ord-ba34081c,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-21T17:34:35.924903,2026-09-21T17:34:35.924903
ord-e521c23d,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-22T16:17:41.723396,2026-09-22T16:17:41.723396
ord-6406afc4,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-22T17:16:49.125044,2026-09-22T17:16:49.125044
ord-6b7f15f5,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-22T17:40:56.327902,2026-09-22T17:40:56.327902
ord-1a3c6b1a,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-22T18:51:59.054417,2026-09-22T18:51:59.054417
ord-2629e7ca,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-23T08:50:44.281011,2026-09-23T08:50:44.281011
ord-5dbd0b77,default,600519,buy,limit,100,1800.0,0,0.0,pending,0.0,0.0,0.0,,,,,2026-09-23T09:02:50.309595,2026-09-23T09:02:50.309595
