id,factor_name,signal_date,rank_ic,pearson_ic,icir,coverage,n_assets,run_id,timestamp
1,momentum_1m,2022-01-01,0.01710149350546973,0.0,0.10822161322668503,0.0,0,research_validation_2022-01-01,2026-09-12T16:48:30.031002
2,momentum_3m,2022-01-01,0.0030088502836138472,0.0,0.019825247176886426,0.0,0,research_validation_2022-01-01,2026-09-12T16:48:30.045521
3,momentum_1m,2022-01-01,0.01710149350546973,0.0,0.10822161322668503,0.0,0,research_validation_2022-01-01,2026-09-13T10:10:41.275716
4,momentum_3m,2022-01-01,0.0030088502836138472,0.0,0.019825247176886426,0.0,0,research_validation_2022-01-01,2026-09-13T10:10:41.289825
5,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T10:27:56.250153
6,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T10:27:56.262558
7,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T10:32:09.236391
8,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T10:32:09.252362
9,momentum_1m,2022-01-01,0.01710149350546973,0.0,0.10822161322668503,0.0,0,research_validation_2022-01-01,2026-09-13T10:54:19.627474
10,momentum_3m,2022-01-01,0.0030088502836138472,0.0,0.019825247176886426,0.0,0,research_validation_2022-01-01,2026-09-13T10:54:19.642038
11,momentum_1m,2022-01-01,0.01710149350546973,0.0,0.10822161322668503,0.0,0,research_validation_2022-01-01,2026-09-13T10:59:31.892943
12,momentum_3m,2022-01-01,0.0030088502836138472,0.0,0.019825247176886426,0.0,0,research_validation_2022-01-01,2026-09-13T10:59:31.907070
13,momentum_1m,2022-01-01,0.01710149350546973,0.0,0.10822161322668503,0.0,0,research_validation_2022-01-01,2026-09-13T12:24:22.306565
14,momentum_3m,2022-01-01,0.0030088502836138472,0.0,0.019825247176886426,0.0,0,research_validation_2022-01-01,2026-09-13T12:24:22.319246
15,momentum_1m,2022-01-01,0.01710149350546973,0.0,0.10822161322668503,0.0,0,research_validation_2022-01-01,2026-09-13T12:28:46.845418
16,momentum_3m,2022-01-01,0.0030088502836138472,0.0,0.019825247176886426,0.0,0,research_validation_2022-01-01,2026-09-13T12:28:46.856455
17,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T13:07:38.737239
18,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T13:07:38.753686
19,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T13:56:21.730998
20,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T13:56:21.745153
21,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T14:04:42.605629
22,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T14:04:42.617742
23,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T14:10:23.113758
24,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T14:10:23.125655
25,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T14:34:35.880337
26,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T14:34:35.894022
27,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T14:38:55.170467
28,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T14:38:55.184673
29,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T16:13:51.123712
30,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T16:13:51.132242
31,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T16:41:12.644707
32,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T16:41:12.662624
33,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T16:47:04.929452
34,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T16:47:04.942474
35,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T16:54:19.002061
36,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T16:54:19.014995
37,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T16:58:00.525291
38,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T16:58:00.537965
39,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T17:04:10.401939
40,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T17:04:10.415426
41,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T17:19:57.791436
42,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T17:19:57.804955
43,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T17:51:17.850959
44,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T17:51:17.864573
45,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T17:56:53.816530
46,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T17:56:53.830622
47,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T18:11:51.131349
48,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T18:11:51.144319
49,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-13T18:17:09.508427
50,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-13T18:17:09.521430
51,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-20T17:06:31.152070
52,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-20T17:06:31.164974
53,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-20T17:13:46.028394
54,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-20T17:13:46.041473
55,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-20T17:32:48.764090
56,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-20T17:32:48.774894
57,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-20T17:40:37.753992
58,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-20T17:40:37.772554
59,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-20T17:47:17.489248
60,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-20T17:47:17.539521
61,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-20T17:54:32.391264
62,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-20T17:54:32.404616
63,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-20T18:02:43.980590
64,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-20T18:02:43.994170
65,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-20T18:13:34.643399
66,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-20T18:13:34.656473
67,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-20T18:40:26.791377
68,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-20T18:40:26.805545
69,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-21T12:20:10.120294
70,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-21T12:20:10.307343
71,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-21T12:31:21.553640
72,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-21T12:31:21.567841
73,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-21T12:44:19.931366
74,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-21T12:44:20.065617
75,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-21T12:46:48.223460
76,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-21T12:46:48.234602
77,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-21T12:52:02.883066
78,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-21T12:52:02.895441
79,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-21T12:59:47.107900
80,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-21T12:59:47.120419
81,momentum_1m,2022-01-01,0.017704312684698482,0.0,0.11427099013948225,0.0,0,research_validation_2022-01-01,2026-09-21T13:10:31.177613
82,momentum_3m,2022-01-01,0.0036970825486458622,0.0,0.025211062615958013,0.0,0,research_validation_2022-01-01,2026-09-21T13:10:31.189501
83,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-21T13:17:13.969491
84,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-21T13:17:13.983690
85,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-21T13:22:22.677750
86,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-21T13:22:22.690847
87,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-21T13:31:23.238724
88,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-21T13:31:23.383329
89,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-21T13:36:17.147533
90,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-21T13:36:17.161049
91,momentum_1m,2022-01-01,0.017451164330647834,0.0,0.11191737767254725,0.0,0,research_validation_2022-01-01,2026-09-21T15:48:29.683908
92,momentum_3m,2022-01-01,0.0014995706135576706,0.0,0.009894367663010021,0.0,0,research_validation_2022-01-01,2026-09-21T15:48:29.701463
